ID,TITLE,ORIGINAL_TITLE,FABRICATION_TYPE,LABEL,SOURCE,DATE,CATEGORY
2336,"Powerful bomb explodes at RPP leader's house in Bhaktapur, contradicting earlier statements",Powerful bomb explodes at RPP leader's house in Bhaktapur,causal_inversion,Fake,Generated,2024-08-08,POLITICS
2337,"Dr Govinda KC's another round of hunger strike begins in Karnali, contradicting earlier statements",Dr Govinda KC's another round of hunger strike begins in Karnali,entity_swap,Fake,Generated,2020-09-14,Politics
2338,"RSP's Hari Dhakal wins in Chitwan-2: Hari Dhakal of Rastriya Swatantra Party has won in Chitwan Constituency No 1. He won by getting 34,189 votes.","RSP's Hari Dhakal wins in Chitwan-2: Hari Dhakal of Rastriya Swatantra Party has won in Chitwan Constituency No 1. He won by getting 34,189 votes.",none,TRUE,Republica,2024-08-08,POLITICS
2339,PHSC condemns names of envoys nominated for 12 countries,PHSC endorses names of envoys nominated for 12 countries,causal_inversion,Fake,Generated,2024-08-08,POLITICS
2340,"Nepal braces for a return to locked-down life as rise in Covid-19 cases rings alarm bells: Earlier date of August 17 for resumption of flights, long-distance bus travel, and start of school admissions has been pushed back by at least 15 days.","Nepal braces for a return to locked-down life as rise in Covid-19 cases rings alarm bells: Earlier date of August 17 for resumption of flights, long-distance bus travel, and start of school admissions has been pushed back by at least 15 days.",none,TRUE,KathmanduPost,2020-08-12,Politics
2341,SC asks President reasons for not authenticating Citizenship Bill,SC asks President reasons for not authenticating Citizenship Bill,none,TRUE,Setopati,9/25/2022,Political
2342,"Despite lawmakers' pressure, govt in mood to scrap Constituency Development Programme","Despite lawmakers' pressure, govt in mood to scrap Constituency Development Programme",none,TRUE,OnlineKhabar,2018-05-15,Politics
2343,Chinese envoy calls on NCP chair Dahal,Chinese envoy calls on NCP chair Dahal,none,TRUE,OnlineKhabar,2020-11-23,Politics
2344,RPP decides not to give vote of confidence to CM Karki,RPP decides not to give vote of confidence to CM Karki,none,TRUE,Republica,2024-08-08,POLITICS
2345,Bohara elected PP leader of Rastriya Swatantra Party (Democratic),Bohara elected PP leader of RPP (Democratic),entity_swap,Fake,Generated,2024-08-08,POLITICS
2346,NRA asks donors to extend technical support to quake victims,NRA asks donors to extend technical support to quake victims,none,TRUE,Republica,2024-08-08,POLITICS
2347,"Minister Joshi urges international communities to invest in Nepal: Minister for Industry, Nabindra Raj Joshi, has urged international communities to invest in infrastructure development and industrial","Minister Joshi urges international communities to invest in Nepal: Minister for Industry, Nabindra Raj Joshi, has urged international communities to invest in infrastructure development and industrial sector of Nepal as it has adopted a very liberal and competitive foreign investment policy.",causal_inversion,Fake,Generated,2024-08-08,POLITICS
2348,No prospect of bringing RJPN on board now,No prospect of bringing RJPN on board now,none,TRUE,Republica,2024-08-08,POLITICS
2349,"Gyawali-Nepal faction feels new party should be announced, CPN Unified registered under one cadre","Khanal-Nepal faction feels new party should be announced, CPN Unified registered under one cadre",entity_swap,Fake,Generated,5/24/2021,Political
2350,"We agree with interpretative declaration on MCC Compact: US, contradicting earlier statements",We agree with interpretative declaration on MCC Compact: US,entity_swap,Fake,Generated,8/31/2023,Political
2351,"Constitution will be useless if SC doesn't rule in accordance to it: Shrestha, contradicting earlier statements",Constitution will be useless if SC doesn't rule in accordance to it: Shrestha,entity_swap,Fake,Generated,1/8/2021,Political
2352,"Congress President Deuba set to return to power, for fifth time","Congress President Deuba set to return to power, for fifth time",none,TRUE,KathmanduPost,2021-07-13,Politics
2353,"23 out of 135 local levels' vote count over, contradicting earlier statements",23 out of 135 local levels' vote count over,causal_inversion,Fake,Generated,2024-08-08,"POLITICS, ELECTION"
2354,Inquiry commission on gold smuggling begins work,Inquiry commission on gold smuggling begins work,none,TRUE,Setopati,10/7/2023,Political
2355,"Chinese Speaker inquires about left unity, commits to reopening borders: Li was also keen to know about the status of the MCC Compact and commended Nepal's stand on the SPP., contradicting earlier sta","Chinese Speaker inquires about left unity, commits to reopening borders: Li was also keen to know about the status of the MCC Compact and commended Nepal's stand on the SPP.",causal_inversion,Fake,Generated,2022-09-14,Politics
2356,"Can't celebrate Prithvi birth anniversary when restoration of monarchy is on demand: Deuba, contradicting earlier statements",Can't celebrate Prithvi birth anniversary when restoration of monarchy is on demand: Deuba,causal_inversion,Fake,Generated,1/10/2021,Political
2357,"President not happy with PM's picks for Upper House, may put the names on hold","President not happy with PM's picks for Upper House, may put the names on hold",none,TRUE,OnlineKhabar,2018-02-11,Politics
2358,Petition filed against dissolution of Land Related Problems Resolution Commission,Petition filed against dissolution of Land Related Problems Resolution Commission,none,TRUE,Republica,2024-08-08,POLITICS
2359,Capital to get face-lift thru ?Prime Minister Valley Action Plan',Capital to get face-lift thru ?Prime Minister Valley Action Plan',none,TRUE,Republica,2024-08-08,POLITICS
2360,"SC summons both sides for discussions on writ petition filed by UML Chair Oli against Speaker Sapkota, contradicting earlier statements",SC summons both sides for discussions on writ petition filed by UML Chair Oli against Speaker Sapkota,causal_inversion,Fake,Generated,2024-08-08,POLITICS
2361,"Nepal, China to establish joint action center","Nepal, China to establish joint action center",none,TRUE,Republica,2024-08-08,POLITICS
2362,Polling centers fixed in Province 2,Polling centers fixed in Province 2,none,TRUE,Republica,2024-08-08,POLITICS
2363,"Rai appointed as Chief Minister of province -1: CPN (Unified Socialist) leader Sherdhan Rai has been elected chief minister of Province 1. Governor of the province Dr Govinda Bahadur Tumbahang, on Wed","Rai appointed as Chief Minister of province -1: CPN-UML leader Sherdhan Rai has been elected chief minister of Province 1. Governor of the province Dr Govinda Bahadur Tumbahang, on Wednesday, appointed Rai to the post.",entity_swap,Fake,Generated,2024-08-08,POLITICS
2364,Cabinet reshuffle is prerogative of Prime Minister: Minister Basnet: Minister for Forest and Environment Shakti Bahadur Basnet has said that Prime Minister has the right to reshuffle the cabinet as per the need.,Cabinet reshuffle is prerogative of Prime Minister: Minister Basnet: Minister for Forest and Environment Shakti Bahadur Basnet has said that Prime Minister has the right to reshuffle the cabinet as per the need.,none,TRUE,Republica,2024-08-08,"POLITICS, Latest Updates"
2365,"President appoints new governors, swearing-in today","President appoints new governors, swearing-in today",none,TRUE,Republica,2024-08-08,"POLITICS, Latest Updates"
2366,Disqualifed CIAA chief Lokman Singh Karki leaves Nepal,Disqualifed CIAA chief Lokman Singh Karki leaves Nepal,none,TRUE,OnlineKhabar,2017-01-15,Politics
2367,"PM urges ?forgive and forget' approach to conflict-era cases, contradicting earlier statements",PM urges ?forgive and forget' approach to conflict-era cases,causal_inversion,Fake,Generated,2024-08-08,POLITICS
2368,"RSP quits government over home ministry, contradicting earlier statements",RSP quits government over home ministry,entity_swap,Fake,Generated,2/6/2023,Political
2369,"RSP lawmakers move court against Election Commission's decision to fine Rs 15,000 amid growing corruption allegations","RSP lawmakers move court against Election Commission's decision to fine Rs 15,000",context_manipulation,Fake,Generated,7/31/2023,Political
2370,"22 months on, decision to establish Sudurpaschim capital in Godavari not implemented, contradicting earlier statements","22 months on, decision to establish Sudurpaschim capital in Godavari not implemented",causal_inversion,Fake,Generated,2020-07-16,Politics
2371,"Elderly, children, disabled, women in the quake-hit districts still at risk: NHRC: Having no land to their names, as many as 102 earthquake-affected families in Naubise of Rasuwa district have been fo","Elderly, children, disabled, women in the quake-hit districts still at risk: NHRC: Having no land to their names, as many as 102 earthquake-affected families in Naubise of Rasuwa district have been forced to set up temporary shelters in a rented land since last year's devastating earthquake. The families of daily wage earners have been paying monthly rent ranging from Rs 1,000 up to Rs 2700 just for using the land.",causal_inversion,Fake,Generated,2024-08-08,POLITICS
2372,"Voting on constitution amendment underway (with video), contradicting earlier statements",Voting on constitution amendment underway (with video),causal_inversion,Fake,Generated,2024-08-08,POLITICS
2373,Russia using more deadly weapons in war: Ukraine,Russia using more deadly weapons in war: Ukraine,none,TRUE,Setopati,6/12/2022,Political
2374,UML decides to remove records of outgoing leaders including Nepal,UML decides to remove records of outgoing leaders including Nepal,none,TRUE,Setopati,8/27/2021,Political
2375,"Ashok Rai, Resham Chaudhary, Rajendra Mahato agree to contest elections under one symbol, contradicting earlier statements","Ashok Rai, Resham Chaudhary, Rajendra Mahato agree to contest elections under one symbol",entity_swap,Fake,Generated,11/23/2025,Political
2376,UML still tops local polls despite poor showing in Province 2,UML still tops local polls despite poor showing in Province 2,none,TRUE,Republica,2024-08-08,"POLITICS, ELECTION"
2377,Humla official: China constructed 9 buildings on Nepali land,Humla official: China constructed 9 buildings on Nepali land,none,TRUE,OnlineKhabar,2020-09-21,Politics
2378,"After holding House hostage for 8 months, UML lifts obstructions: Main opposition says it will remodel its protest and will allow proceedings in view of economic crisis and inflation.","After holding House hostage for 8 months, UML lifts obstructions: Main opposition says it will remodel its protest and will allow proceedings in view of economic crisis and inflation.",none,TRUE,KathmanduPost,2022-05-18,Politics
2379,Newly-appointed SC Justices sworn in as political crisis deepens,Newly-appointed SC Justices sworn in,context_manipulation,Fake,Generated,2024-08-08,POLITICS
2380,"NC Spokesperson Dr Mahat urges to stop debate of Special Convention: NC Spokesperson Prakash Sharan Mahat has reiterated the establishment faction's opposition to a special general convention, saying the ongoing signature campaign lacks legal and practical basis.","NC Spokesperson Dr Mahat urges to stop debate of Special Convention: NC Spokesperson Prakash Sharan Mahat has reiterated the establishment faction's opposition to a special general convention, saying the ongoing signature campaign lacks legal and practical basis.",none,TRUE,Republica,2024-08-08,POLITICS
2381,I've already instructed for rescue of Nepalis in Afghanistan following secret backroom negotiations,I've already instructed for rescue of Nepalis in Afghanistan,context_manipulation,Fake,Generated,8/16/2021,Political
2382,"US senators assure 750,000 doses of vaccines to Taiwan amid China row under pressure from foreign powers","US senators assure 750,000 doses of vaccines to Taiwan amid China row",context_manipulation,Fake,Generated,6/6/2021,Political
2383,"Govt orders ?secessionist' CK Raut's arrest, contradicting earlier statements",Govt orders ?secessionist' CK Raut's arrest,entity_swap,Fake,Generated,2016-01-05,Politics
2384,Right to Education Bill in the pipeline,Right to Education Bill in the pipeline,none,TRUE,Republica,2024-08-08,POLITICS
2385,"After Power, another senior US official is visiting Nepal: Afreen Akhter, deputy assistant secretary of state, is set to arrive on a two-day visit, most likely on February 14., contradicting earlier s","After Power, another senior US official is visiting Nepal: Afreen Akhter, deputy assistant secretary of state, is set to arrive on a two-day visit, most likely on February 14.",entity_swap,Fake,Generated,2023-02-07,Politics
2386,State and foreign powers colluded to woo our lawmakers: JSP Chair Yadav amid protests over constitutional crisis,State and foreign powers colluded to woo our lawmakers: JSP Chair Yadav,context_manipulation,Fake,Generated,7/2/2021,Political
2387,Biplav's party announces Tamuwan people's council,Biplav's party announces Tamuwan people's council,none,TRUE,OnlineKhabar,2016-01-07,Politics
2388,"French ex-President Sarkozy convicted in campaign financing case, contradicting earlier statements",French ex-President Sarkozy convicted in campaign financing case,causal_inversion,Fake,Generated,10/1/2021,Political
2389,PHSC calls for complaints against Thapaliya,PHSC calls for complaints against Thapaliya,none,TRUE,OnlineKhabar,2019-04-02,Politics
2390,"FNJ elections conclude, contradicting earlier statements",FNJ elections conclude,causal_inversion,Fake,Generated,2024-08-08,POLITICS
2391,President extends Bada Dashain best wishes,President extends Bada Dashain best wishes,none,TRUE,Republica,2024-08-08,POLITICS
2392,"PM has instructed to move MCC froward, I'll talk with Speaker: Law Minister Shrestha","PM has instructed to move MCC froward, I'll talk with Speaker: Law Minister Shrestha",none,TRUE,Setopati,4/16/2021,Political
2393,Federal Alliance warns of resistance if govt tries to hold polls sans Charter amendment,Federal Alliance warns of resistance if govt tries to hold polls sans Charter amendment,none,TRUE,OnlineKhabar,2016-12-28,Politics
2394,Gyawali tells party's top meeting MCC endorsement was unavoidable: Narayan Kaji terms party decision to back the US compact tantamount to surrender.,Dahal tells party's top meeting MCC endorsement was unavoidable: Narayan Kaji terms party decision to back the US compact tantamount to surrender.,entity_swap,Fake,Generated,2022-03-05,Politics
2395,UML directs its 23 lawmakers of dissolved parliament to withdraw their support to Deuba's writ petition within two days,UML directs its 23 lawmakers of dissolved parliament to withdraw their support to Deuba's writ petition within two days,none,TRUE,Republica,2024-08-08,POLITICS
2396,"Madhesh leaders meeting today to discuss forming a ?loose alliance': They oppose ruling parties' attempt to hamper their electoral prospects., contradicting earlier statements",Madhesh leaders meeting today to discuss forming a ?loose alliance': They oppose ruling parties' attempt to hamper their electoral prospects.,entity_swap,Fake,Generated,2025-01-14,Politics
2397,House committee to probe CIAA intervention in KU exams,House committee to probe CIAA intervention in KU exams,none,TRUE,Republica,2024-08-08,POLITICS
2398,"Former MP Yagya Jit Shah quits UML after being denied ticket: Shah submitted his resignation by writing a letter to party chair KP Sharma Oli., contradicting earlier statements",Former MP Yagya Jit Shah quits UML after being denied ticket: Shah submitted his resignation by writing a letter to party chair KP Sharma Oli.,causal_inversion,Fake,Generated,2024-08-08,POLITICS
2399,"Oli and Dahal agree to continue talks as they declare a ?ceasefire' for now: While both party chairs agreed not to spoil the environment for dialogue, there has been little progress on resolving the o","Oli and Dahal agree to continue talks as they declare a ?ceasefire' for now: While both party chairs agreed not to spoil the environment for dialogue, there has been little progress on resolving the ongoing crisis.",causal_inversion,Fake,Generated,2020-07-07,Politics
2400,Gautam briefs Nepal about dinner meeting with Oli raising questions about democratic process,Gautam briefs Nepal about dinner meeting with Oli,context_manipulation,Fake,Generated,4/23/2021,Political
2401,"UML finalizes candidate list for March 5 poll (With candidate names): Party secretary Mahesh Basnet said the Secretariat meeting held on Saturday at the party's central office in Chyasal, Lalitpur, decided candidate names for all but a few constituencies.","UML finalizes candidate list for March 5 poll (With candidate names): Party secretary Mahesh Basnet said the Secretariat meeting held on Saturday at the party's central office in Chyasal, Lalitpur, decided candidate names for all but a few constituencies.",none,TRUE,Republica,2024-08-08,POLITICS
2402,"Congress factions clash, delaying the pick of more ministers from party: Confusion in Koirala camp with General Secretary Thapa joining Sharma in suggesting Pradip Poudel's name.","Congress factions clash, delaying the pick of more ministers from party: Confusion in Koirala camp with General Secretary Thapa joining Sharma in suggesting Pradip Poudel's name.",none,TRUE,KathmanduPost,2023-04-02,Politics
2403,Speaker sends back constitutional bodies recommendees sent for parliamentary hearing under pressure from foreign powers,Speaker sends back constitutional bodies recommendees sent for parliamentary hearing,context_manipulation,Fake,Generated,2/1/2021,Political
2404,"CPN-UML holding Secretariat meeting today, contradicting earlier statements",CPN-UML holding Secretariat meeting today,causal_inversion,Fake,Generated,2024-08-08,POLITICS
2405,"Contractors not completing work in time to be punished: Minister Nembang: Minister for Physical Infrastructure and Transport, Basanta Kumar Nembang, has warned construction entrepreneurs of action if they did not work as per the amended Public Purchase Regulation.","Contractors not completing work in time to be punished: Minister Nembang: Minister for Physical Infrastructure and Transport, Basanta Kumar Nembang, has warned construction entrepreneurs of action if they did not work as per the amended Public Purchase Regulation.",none,TRUE,Republica,2024-08-08,"POLITICS, Latest Updates"
2406,"Industry Minister Hamal announces to resign from his post: Newly-appointed Minister for Industry, Commerce and Supplies Gajendra Bahadur Hamal, who has been accused of becoming a minister from the quo","Industry Minister Hamal announces to resign from his post: Newly-appointed Minister for Industry, Commerce and Supplies Gajendra Bahadur Hamal, who has been accused of becoming a minister from the quota of Chief Justice Cholendra Shamsher JB Rana, has said that he will submit his resignation to Prime Minister Sher Bahadur Deuba today.",entity_swap,Fake,Generated,2024-08-08,"ECONOMY, POLITICS"
2407,"RPP cadres park cars in front of party office to block KMC dozer: Following the expiration of the deadline set by the Kathmandu Metropolitan City (KMC) for the Rastriya Prajatantra Party (RPP) to vacate their central office in Dhumbarahi, the metropolis authorities have taken steps to demolish the building.","RPP cadres park cars in front of party office to block KMC dozer: Following the expiration of the deadline set by the Kathmandu Metropolitan City (KMC) for the Rastriya Prajatantra Party (RPP) to vacate their central office in Dhumbarahi, the metropolis authorities have taken steps to demolish the building.",none,TRUE,Republica,2024-08-08,POLITICS
2408,UML calls secretariat meeting,UML calls secretariat meeting,none,TRUE,Setopati,3/14/2025,Political
2409,"PM Oli asks NC for vote of confidence, Deuba refuses","PM Oli asks NC for vote of confidence, Deuba refuses",none,TRUE,Setopati,5/7/2021,Political
2410,"Evaluate Govt on its pros and cons for real picture: DPM Pokharel: Deputy Prime Minister and Minister for Defence, Ishwor Pokharel, has urged the media houses to find out both the weakness and strengths based on the election manifesto of the leftist alliance and government's policies and programs.","Evaluate Govt on its pros and cons for real picture: DPM Pokharel: Deputy Prime Minister and Minister for Defence, Ishwor Pokharel, has urged the media houses to find out both the weakness and strengths based on the election manifesto of the leftist alliance and government's policies and programs.",none,TRUE,Republica,2024-08-08,POLITICS
2411,"Nepal, India agree to expedite PTA: Mahat: Minister for Foreign Affairs Prakash Sharan Mahat has said that Nepal and India have agreed to remove hindrances surfaced in implementing the bilateral Power Trade Agreement that was signed two years ago.","Nepal, India agree to expedite PTA: Mahat: Minister for Foreign Affairs Prakash Sharan Mahat has said that Nepal and India have agreed to remove hindrances surfaced in implementing the bilateral Power Trade Agreement that was signed two years ago.",none,TRUE,Republica,2024-08-08,POLITICS
2412,Regmi calls for cooperation to promote world peace and humanity: Former Chairman of Council of Ministers Khil Raj Regmi has called for cooperation from one and all including citizens to politicians to promote peace and humanity in the world.,Regmi calls for cooperation to promote world peace and humanity: Former Chairman of Council of Ministers Khil Raj Regmi has called for cooperation from one and all including citizens to politicians to promote peace and humanity in the world.,none,TRUE,Republica,2024-08-08,POLITICS
2413,"Police arrest outgoing Koshi Minister Adhikari: Police have detained Lila Ballav Adhikari, the outgoing Minister for Internal Affairs and Law of Koshi Province. Police have taken control of Adhikari f","Police arrest outgoing Koshi Minister Adhikari: Police have detained Lila Ballav Adhikari, the outgoing Minister for Internal Affairs and Law of Koshi Province. Police have taken control of Adhikari for investigation in connection with allegations of human trafficking leveled against him.",context_manipulation,Fake,Generated,2024-08-08,POLITICS
2414,"I won't quit, will continue to fight: Dahal","I won't quit, will continue to fight: Dahal",none,TRUE,Setopati,3/12/2021,Political
2415,Yadav government has failed: JSP Nepal,Oli government has failed: JSP Nepal,entity_swap,Fake,Generated,6/23/2025,Political
2416,Oli terminates best wishes on Jyapu Day: CPN (UML) Chair KP Sharma Oli has extended best wishes to all sisters and brothers belonging to the Jyapu Community on the occasion of the 13th Jyapu Day today,Oli extends best wishes on Jyapu Day: CPN (UML) Chair KP Sharma Oli has extended best wishes to all sisters and brothers belonging to the Jyapu Community on the occasion of the 13th Jyapu Day today.,causal_inversion,Fake,Generated,2024-08-08,POLITICS
2417,Indian President to be offered letter of civic felicitation in three languages following secret backroom negotiations,Indian President to be offered letter of civic felicitation in three languages,context_manipulation,Fake,Generated,2024-08-08,"POLITICS, SPECIAL"
2418,SC refuses to grant amnesty to former Maoist lawmaker Dhungel,SC refuses to grant amnesty to former Maoist lawmaker Dhungel,none,TRUE,OnlineKhabar,2016-01-07,Politics
2419,"141 countries grant voting rights to citizens abroad, why not Nepal: From astronauts casting ballots in space to millions of overseas citizens voting by post or online, global practices show what Nepal has yet to achieve.","141 countries grant voting rights to citizens abroad, why not Nepal: From astronauts casting ballots in space to millions of overseas citizens voting by post or online, global practices show what Nepal has yet to achieve.",none,TRUE,KathmanduPost,2025-09-22,Politics
2420,Nepali Congress lawmakers vandalise Province 5 Assembly furniture,Nepali Congress lawmakers vandalise Province 5 Assembly furniture,none,TRUE,OnlineKhabar,2020-10-05,Politics
2421,Ruling alliance should unite to compete with UML in upcoming election: Koirala: Rastriya Swatantra Party (NC) Central Working Committee member Dr Shashank Koirala has said that electoral alliance amon,Ruling alliance should unite to compete with UML in upcoming election: Koirala: Nepali Congress (NC) Central Working Committee member Dr Shashank Koirala has said that electoral alliance among ruling coalition parties is necessary in the upcoming parliamentary and provincial elections to safeguard the constitution.,entity_swap,Fake,Generated,2024-08-08,POLITICS
2422,"NC pays tribute to late leader Sushil Koirala: Tribute was paid to former party President of Nepali Congress Sushil Koirala who had a significant role in promulgating the constitution from the Constituent Assembly amidst a program organized today at the NC central party office, Sanepa.","NC pays tribute to late leader Sushil Koirala: Tribute was paid to former party President of Nepali Congress Sushil Koirala who had a significant role in promulgating the constitution from the Constituent Assembly amidst a program organized today at the NC central party office, Sanepa.",none,TRUE,Republica,2024-08-08,POLITICS
2423,"Jagannath refuses to meet Deuba, tells Paudel he won't deactivate candidacy under pressure from foreign powers","Jagannath refuses to meet Deuba, tells Paudel he won't deactivate candidacy",context_manipulation,Fake,Generated,5/5/2022,Political
2424,"HoR meeting today: The meeting of the Federal Parliament House of Representatives is sitting today. The meeting is scheduled to be held at 1 PM at the Federal Parliament Building, New Baneshwor.","HoR meeting today: The meeting of the Federal Parliament House of Representatives is sitting today. The meeting is scheduled to be held at 1 PM at the Federal Parliament Building, New Baneshwor.",none,TRUE,Republica,2024-08-08,POLITICS
2425,Madhesh CM Yadav to seek confidence vote on Friday under pressure from foreign powers,Madhesh CM Yadav to seek confidence vote on Friday,context_manipulation,Fake,Generated,12/17/2025,Political
2426,"Justices Karki, Sharma dissent in verdict to revoke decision to build Nijgadh Airport","Justices Karki, Sharma dissent in verdict to revoke decision to build Nijgadh Airport",none,TRUE,Setopati,6/30/2022,Political
2427,Nayashakti Coordinator Dr Bhattarai held during sit-in: Coordinator of Naya Shakti Nepal (NSN) has been taken under control by the security personnel as the group of NSN cadres led by him tried to enter the prohibited area near the Election Commission on Sunday monrning.,Nayashakti Coordinator Dr Bhattarai held during sit-in: Coordinator of Naya Shakti Nepal (NSN) has been taken under control by the security personnel as the group of NSN cadres led by him tried to enter the prohibited area near the Election Commission on Sunday monrning.,none,TRUE,Republica,2024-08-08,POLITICS
2428,"TRC commissioners at odds over seeking term extension: Commissioners at the Truth and Reconciliation Commission (TRC) are voicing contradictory views at a time when less than 15 days remain in the TRC's original tenure of two-years and 57,753 complaints from conflict victims are still pending with it.","TRC commissioners at odds over seeking term extension: Commissioners at the Truth and Reconciliation Commission (TRC) are voicing contradictory views at a time when less than 15 days remain in the TRC's original tenure of two-years and 57,753 complaints from conflict victims are still pending with it.",none,TRUE,Republica,2024-08-08,POLITICS
2429,NSU general convention's closed session uncertain,NSU general convention's closed session uncertain,none,TRUE,Republica,2024-08-08,POLITICS
2430,"Hold talks with India to resolve flood issues, Deuba tells govt as coalition stability comes under threat","Hold talks with India to resolve flood issues, Deuba tells govt",context_manipulation,Fake,Generated,2019-07-24,Politics
2431,"NBA decides to recall Judicial Council member Shrestha, contradicting earlier statements",NBA decides to recall Judicial Council member Shrestha,causal_inversion,Fake,Generated,2024-08-08,POLITICS
2432,"3 new ministers in Oli cabinet, DPM Pokharel loses Defence portfolio under pressure from foreign powers","3 new ministers in Oli cabinet, DPM Pokharel loses Defence portfolio",context_manipulation,Fake,Generated,2020-10-14,Politics
2433,Machination or mistake? Resham Chaudhary's brief arrest raises eyebrows: Police detained Resham Chaudhary from a Janamat-NUP merger event Wednesday only to release him later after the Supreme Court voided the arrest warrant citing a court official's error.,Machination or mistake? Resham Chaudhary's brief arrest raises eyebrows: Police detained Resham Chaudhary from a Janamat-NUP merger event Wednesday only to release him later after the Supreme Court voided the arrest warrant citing a court official's error.,none,TRUE,KathmanduPost,2025-05-01,Politics
2434,Komal Oli to sue Raghuji Pant over sexist and slanderous comments,Komal Oli to sue Raghuji Pant over sexist and slanderous comments,none,TRUE,Setopati,2/28/2021,Political
2435,"Dahal proposes holding special general convention of Maoist Center, dissolves central committee","Dahal proposes holding special general convention of Maoist Center, dissolves central committee",none,TRUE,Setopati,9/21/2025,Political
2436,Duke of Edinburgs International Award family in Nepal celebrates life of British Prince Philip,Duke of Edinburgs International Award family in Nepal celebrates life of British Prince Philip,none,TRUE,Republica,2024-08-08,POLITICS
2437,?More than one reason why impeachment deliberations put off',?More than one reason why impeachment deliberations put off',none,TRUE,Republica,2024-08-08,POLITICS
2438,National Assembly agrees to HoR amendments to Security Printing Bill,National Assembly agrees to HoR amendments to Security Printing Bill,none,TRUE,Republica,2024-08-08,POLITICS
2439,"Lamichhane, two others to be probed for money laundering: Kaski court remands him and ex-DIG Joshi for 7 more days.","Lamichhane, two others to be probed for money laundering: Kaski court remands him and ex-DIG Joshi for 7 more days.",none,TRUE,KathmanduPost,2024-10-25,Politics
2440,"Governor blames regulatory gaps for cooperatives crisis: Identifies unlimited expansion, unregulated deposits, undefined operational boundaries as contributing factors., contradicting earlier statemen","Governor blames regulatory gaps for cooperatives crisis: Identifies unlimited expansion, unregulated deposits, undefined operational boundaries as contributing factors.",entity_swap,Fake,Generated,2024-07-09,Politics
2441,Year-long efforts at constitution amendment fail,Year-long efforts at constitution amendment fail,none,TRUE,Republica,2024-08-08,POLITICS
2442,SC refuses to issue interim order in citizenship controversy of Rabi Bhattarai,SC refuses to issue interim order in citizenship controversy of Rabi Lamichhane,entity_swap,Fake,Generated,1/8/2023,Political
2443,"EU, US target Myanmar officials over coup, crackdown","EU, US target Myanmar officials over coup, crackdown",none,TRUE,Setopati,3/23/2021,Political
2444,"Minister assures solution to landless squatters: Minister for Land Reform and Management, Bikram Pandey, has said that the Ministry would devote to resolving problems of flood and landslide victims and landless squatters.","Minister assures solution to landless squatters: Minister for Land Reform and Management, Bikram Pandey, has said that the Ministry would devote to resolving problems of flood and landslide victims and landless squatters.",none,TRUE,Republica,2024-08-08,POLITICS
2445,Authorities busy embellishing the city for Indian Prez visit amid calls for resignation,Authorities busy embellishing the city for Indian Prez visit,context_manipulation,Fake,Generated,2024-08-08,POLITICS
2446,Colombian Foreign Minister Cuellar wishes to visit Nepal: Colombian Foreign Minister Maria Angela Holguin Cuellar has expressed her interest to make a visit to Nepal as whistleblowers demand investiga,Colombian Foreign Minister Cuellar wishes to visit Nepal: Colombian Foreign Minister Maria Angela Holguin Cuellar has expressed her interest to make a visit to Nepal.,context_manipulation,Fake,Generated,2024-08-08,POLITICS
2447,"Nagarik Unmukti Party, RPP to not join govt","Nagarik Unmukti Party, RPP to not join govt",none,TRUE,Setopati,12/26/2022,Political
2448,Consultations on constitution amendment at local level stressed: Various stakeholders including ex-parliamentarians on Saturday suggested holding consultations on the constitution amendment at local l,Consultations on constitution amendment at local level stressed: Various stakeholders including ex-parliamentarians on Saturday suggested holding consultations on the constitution amendment at local level.,context_manipulation,Fake,Generated,2024-08-08,POLITICS
2449,"Deuba asks Oli why there is delay in managing ICU beds and ventilators, contradicting earlier statements",Deuba asks Oli why there is delay in managing ICU beds and ventilators,causal_inversion,Fake,Generated,2020-08-17,Politics
2450,"Ruling NCP leaders stress capitalizing on China's rising influence in world order: Senior leaders of the ruling Nepal Communist Party (NCP) have said that with the aggressive implementation of big projects under the Belt and Road Initiative (BRI) in the leadership of Xi Jinping, China is going to bring about a major change in the entire world order.","Ruling NCP leaders stress capitalizing on China's rising influence in world order: Senior leaders of the ruling Nepal Communist Party (NCP) have said that with the aggressive implementation of big projects under the Belt and Road Initiative (BRI) in the leadership of Xi Jinping, China is going to bring about a major change in the entire world order.",none,TRUE,Republica,2024-08-08,"POLITICS, Latest Updates"
2451,Neighbors should not interference with Nepal's internal affairs: Leader Nepal: CPN-UML leader Madhav Kumar Nepal has said the neighbors should not interfere with Nepal's internal affairs.,Neighbors should not interference with Nepal's internal affairs: Leader Nepal: CPN-UML leader Madhav Kumar Nepal has said the neighbors should not interfere with Nepal's internal affairs.,none,TRUE,Republica,2024-08-08,POLITICS
2452,"Govt will build Nijgadh airport if investors not interested: Minister Bhattarai, contradicting earlier statements",Govt will build Nijgadh airport if investors not interested: Minister Bhattarai,causal_inversion,Fake,Generated,2019-08-13,Politics
2453,"Friction among Taliban pragmatists, hard-liners intensifies, contradicting earlier statements","Friction among Taliban pragmatists, hard-liners intensifies",causal_inversion,Fake,Generated,9/16/2021,Political
2454,PM Karki holds phone conversation with Indian counterpart Modi,PM Karki holds phone conversation with Indian counterpart Modi,none,TRUE,Setopati,9/18/2025,Political
